order_name,order_code,recipe_category,recipe_quantity,recipe_unit,direction_usage,abbreviation
-,810000001.0,"""Anesthesia""",-,-,-,省略危険文字列
-,810000001.0,"""Comment""",-,-,-,省略危険文字列
-,810000001.0,"""Control""",-,-,-,省略危険文字列
-,810000001.0,"""Diagnosis""",-,-,-,省略危険文字列
-,810000001.0,"""Examination""",-,-,-,省略危険文字列
-,810000001.0,"""HomeCare""",-,-,-,省略危険文字列
-,810000001.0,"""Image""",-,-,-,省略危険文字列
-,810000001.0,"""Injection""",-,-,-,省略危険文字列
-,810000001.0,"""Medication""",-,-,医師の指示通り,省略危険文字列
-,810000001.0,"""OwnExpense""",-,-,-,省略危険文字列
-,810000001.0,"""Pathological""",-,-,-,省略危険文字列
-,810000001.0,"""Rehabilitation""",-,-,-,省略危険文字列
-,810000001.0,"""Surgery""",-,-,-,省略危険文字列
-,810000001.0,"""Treatment""",-,-,-,省略危険文字列
γ−ＧＴ,160020410.0,"""Examination""",1.0,回,-,γ−ＧＴ
いぼ・ほくろ除去　いぼ・脂漏性角化症　顔・首（５ｍｍ以下）１１〜１９個,96000059.0,"""OwnExpense""",1.0,回,-,脂漏性角化症顔
いぼ・ほくろ除去　いぼ・脂漏性角化症　顔・首（５ｍｍ以下）２０〜２９個,96000060.0,"""OwnExpense""",1,回,-,脂漏性角化症顔
いぼ・ほくろ除去　いぼ・脂漏性角化症　顔・首（５ｍｍ以下）６〜１０個,96000058.0,"""OwnExpense""",1.0,回,-,脂漏性角化症顔
いぼ・ほくろ除去　ほくろ１個（２ｍｍ以下）,96000055.0,"""OwnExpense""",1.0,回,-,ほくろ
いぼ・ほくろ除去　ほくろ１個（５ｍｍ以下）,96000056.0,"""OwnExpense""",1.0,回,-,ほくろ
いぼ焼灼法（３箇所以下）,140012010.0,"""Treatment""",1.0,回,-,焼灼法
いぼ等冷凍凝固法（３箇所以下）,140012410.0,"""Treatment""",1.0,回,-,等冷凍凝固法
いぼ等冷凍凝固法（４箇所以上）,140012510.0,"""Treatment""",1.0,回,-,等冷凍凝固法
その他証明書・診断書（簡易なもの）＠２，０００,96000013.0,"""OwnExpense""",1.0,回,-,他証明書
その他証明書・診断書（複雑なもの）＠５，０００,96000014.0,"""OwnExpense""",1.0,回,-,他証明書
アイファガン点眼液０．１％,622150001.0,"""Medication""",15.0,ｍＬ,１日右２回左２回,アイファガン
アイミクス配合錠ＨＤ,622199301.0,"""Medication""",1,錠,１日１回朝食後,アイミクス
アイメット（３Ｄスキャンあり）,96000137.0,"""OwnExpense""",1.0,回,-,アイメット
アイメット（３Ｄスキャンなし）,96000138.0,"""OwnExpense""",1,回,-,アイメット
アイモビーグ皮下注７０ｍｇペン　１ｍＬ,629915601.0,"""Injection""",1.0,キット,-,アイモビーグ
アイラミド配合懸濁性点眼液,622795101.0,"""Medication""",10.0,ｍＬ,１日右２回左２回,配合懸濁性点眼液
アイリーア硝子体内注射液４０ｍｇ／ｍＬ　２ｍｇ０．０５ｍＬ,622199401.0,"""Injection""",1,瓶,-,硝子体内注射液
アクアチムクリーム１％,620005245.0,"""Medication""",10.0,ｇ,１日２回お使い下さい。,アクアチムクリーム
アクアチムローション１％,620005246.0,"""Medication""",20.0,ｍＬ,１日２回お使い下さい。,アクアチムローション
アクアチム軟膏１％,620000348.0,"""Medication""",10.0,ｇ,１日２回お使い下さい。,アクアチム
アクトシン軟膏３％,620007553.0,"""Medication""",30,ｇ,医師の指示通り,アクトシン
アクトスＯＤ錠３０　３０ｍｇ,621991001.0,"""Medication""",1.0,錠,１日１回朝食後,アクトス
アクトネル錠７５ｍｇ,622226001.0,"""Medication""",1.0,錠,４週に１回起床時,アクトネル
アサコール錠４００ｍｇ,621969902.0,"""Medication""",6,錠,１日３回毎食後,アサコール
アザルフィジンＥＮ錠２５０ｍｇ,610463004.0,"""Medication""",2.0,錠,１日２回朝夕食後,アザルフィジン
アザルフィジンＥＮ錠５００ｍｇ,620004897.0,"""Medication""",2.0,錠,１日２回朝夕食後,アザルフィジン
アシクロビルＤＳ８０％「サワイ」,621676401.0,"""Medication""",2.4,ｇ,１日４回毎食後及び就寝前,アシクロビル
アシノン錠１５０ｍｇ,620005870.0,"""Medication""",2.0,錠,１日２回朝夕食後,アシノン
アジスロマイシン錠５００ｍｇ「トーワ」,622281601.0,"""Medication""",1.0,錠,１日１回朝食後,アジスロマイシン
アジマイシン点眼液１％,622688701.0,"""Medication""",2.5,ｍＬ,医師の指示通り,アジマイシン
アジョビ皮下注２２５ｍｇシリンジ　１．５ｍＬ,622849801.0,"""Injection""",1.0,筒,-,アジョビ
アジルサルタン錠１０ｍｇ「サワイ」,622939601.0,"""Medication""",1.0,錠,１日１回朝食後,アジルサルタン
アジルサルタン錠１０ｍｇ「サンド」,622942401.0,"""Medication""",1.0,錠,１日１回朝食後,アジルサルタン
アジルサルタン錠２０ｍｇ「ＪＧ」,622943801.0,"""Medication""",1,錠,１日１回朝食後,アジルサルタン
アジルバ錠１０ｍｇ,622341401.0,"""Medication""",1.0,錠,１日１回朝食後,アジルバ
アジルバ錠２０ｍｇ,622143501.0,"""Medication""",1.0,錠,１日１回朝食後,アジルバ
アジルバ錠４０ｍｇ,622143601.0,"""Medication""",1.0,錠,１日１回朝食後,アジルバ
アスタットクリーム１％,620008957.0,"""Medication""",30.0,ｇ,足に,アスタットクリーム
アストミン錠１０ｍｇ,620004432.0,"""Medication""",3,錠,１日３回毎食後,アストミン
アスパラカリウム錠３００ｍｇ,620004902.0,"""Medication""",2,錠,１日２回朝夕食後,アスパラカリウム
アスベリンシロップ０．５％,620002502.0,"""Medication""",3.0,ｍＬ,１日２回朝夕食後,アスベリンシロップ
アスベリンドライシロップ２％,620002503.0,"""Medication""",1.5,ｇ,１日２回朝夕食後,アスベリンドライシロップ
アスベリン散１０％,620002500.0,"""Medication""",0.3,ｇ,１日２回朝夕食後,アスベリン
アスベリン錠１０　１０ｍｇ,620003073.0,"""Medication""",6,錠,１日３回毎食後,アスベリン
アスベリン錠２０　２０ｍｇ,612220036.0,"""Medication""",2.0,錠,１日２回朝夕食後,アスベリン
アズノールうがい液４％,660463002.0,"""Medication""",10.0,ｍＬ,１日２〜３回お使い下さい。,アズノール
アズノール軟膏０．０３３％,620002619.0,"""Medication""",20.0,ｇ,湿疹に,アズノール
アズレンうがい液４％「ケンエー」,620008235.0,"""Medication""",10,ｍＬ,１日２〜３回,アズレン
アセトアミノフェン細粒２０％「トーワ」,621526501.0,"""Medication""",3,ｇ,１日３回毎食後,アセトアミノフェン
アセトアミノフェン錠２００ｍｇ「三和」,621634101.0,"""Medication""",6.0,錠,１日３回毎食後,アセトアミノフェン
アセトアミノフェン錠２００ｍｇ「ＴＣＫ」,621676901.0,"""Medication""",6,錠,１日３回毎食後,アセトアミノフェン
アセトアミノフェン錠３００ｍｇ「マルイシ」,622556901.0,"""Medication""",1,錠,１日１回朝食後,アセトアミノフェン
アセトアミノフェン錠５００ｍｇ「マルイシ」,622649001.0,"""Medication""",3.0,錠,１日３回毎食後,アセトアミノフェン
アセトアミノフェンＤＳ４０％「三和」,621634201.0,"""Medication""",0.25,ｇ,発熱時又は痛む時,アセトアミノフェン
アセリオ静注液１０００ｍｇバッグ　１，０００ｍｇ１００ｍＬ,622525501.0,"""Injection""",1.0,袋,-,アセリオ
アゼルニジピン錠１６ｍｇ「ケミファ」,622251501.0,"""Medication""",1,錠,１日１回朝食後,アゼルニジピン
アゾセミド３０ｍｇ錠,622721400.0,"""Medication""",0.5,錠,１日１回朝食後,アゾセミド
アゾルガ配合懸濁性点眼液,622278801.0,"""Medication""",10.0,ｍＬ,１日右２回,配合懸濁性点眼液
アタラックス−Ｐカプセル５０ｍｇ,620003499.0,"""Medication""",1.0,カプセル,１日１回就寝前,アタラックス
アダラートＣＲ錠１０ｍｇ,610421320.0,"""Medication""",1,錠,１日１回朝食後,アダラート
アダラートＣＲ錠２０ｍｇ,610421321.0,"""Medication""",1.0,錠,１日１回朝食後,アダラート
アダラートＣＲ錠４０ｍｇ,610421322.0,"""Medication""",2.0,錠,１日２回朝夕食後,アダラート
アテレック錠１０　１０ｍｇ,610407148.0,"""Medication""",0.5,錠,１日１回朝食後,アテレック
アテレック錠２０　２０ｍｇ,622284801.0,"""Medication""",1,錠,１日１回朝食後,アテレック
アテレック錠５　５ｍｇ,610407147.0,"""Medication""",1.0,錠,１日１回朝食後,アテレック
アデノウイルス抗原定性（糞便を除く。）,160148810.0,"""Examination""",1.0,回,-,アデノウイルス
アデノウイルス抗原定性（糞便）,160112810.0,"""Examination""",1,回,-,アデノウイルス
アデホスコーワ腸溶錠６０　６０ｍｇ,613990041.0,"""Medication""",3.0,錠,１日３回毎食後,アデホスコーワ
アデホスコーワ顆粒１０％,620003503.0,"""Medication""",3.0,ｇ,１日３回毎食後,アデホスコーワ
アトルバスタチン錠１０ｍｇ「アメル」,622143901.0,"""Medication""",1.0,錠,１日１回朝食後,アトルバスタチン
アトルバスタチン錠１０ｍｇ「サワイ」,622098501.0,"""Medication""",1.0,錠,１日１回朝食後,アトルバスタチン
アトルバスタチン錠１０ｍｇ「サンド」,622127001.0,"""Medication""",1.0,錠,１日１回夕食後,アトルバスタチン
アトルバスタチン錠５ｍｇ「サワイ」,622098401.0,"""Medication""",1.0,錠,１日１回朝食後,アトルバスタチン
アトルバスタチン錠５ｍｇ「Ｍｅ」,622180602.0,"""Medication""",1.0,錠,１日１回朝食後,アトルバスタチン
アトルバスタチン錠５ｍｇ「ＴＣＫ」,622302401.0,"""Medication""",1.0,錠,１日１回夕食後,アトルバスタチン
アトルバスタチンＯＤ錠１０ｍｇ「トーワ」,622280801.0,"""Medication""",1,錠,１日１回朝食後,アトルバスタチン
アドソルビン原末,620008284.0,"""Medication""",2,ｇ,１日３回毎食後,アドソルビン
アドナ錠３０ｍｇ,620002506.0,"""Medication""",3,錠,１日３回毎食後,アドナ
アナフラニール錠１０ｍｇ,611170027.0,"""Medication""",9.0,錠,１日３回毎食後,アナフラニール
アナフラニール錠２５ｍｇ,611170028.0,"""Medication""",4.0,錠,１日２回朝夕食後,アナフラニール
アニュイティ１００μｇエリプタ３０吸入用,622552201.0,"""Medication""",1.0,キット,医師の指示通り,アニュイティ
アバプロ錠１００ｍｇ,620006794.0,"""Medication""",1.0,錠,１日１回朝食後,アバプロ
アフタゾロン口腔用軟膏０．１％,620006368.0,"""Medication""",5.0,ｇ,医師の指示通り,アフタゾロン
アフタッチ口腔用貼付剤２５μｇ,620508801.0,"""Medication""",30,錠,１日１〜２回お使い下さい。,口腔用貼付剤
アボルブカプセル０．５ｍｇ,621927601.0,"""Medication""",1,カプセル,１日１回朝食後,アボルブカプセル
アポハイドローション２０％,622930601.0,"""Medication""",8.64,ｇ,手に,アポハイドローション
アマリール０．５ｍｇ錠,621982701.0,"""Medication""",1,錠,１日１回夕食直前,アマリール
アマリール１ｍｇ錠,610443002.0,"""Medication""",1,錠,１日１回朝食後,アマリール
アマージ錠２．５ｍｇ,620006771.0,"""Medication""",1.0,錠,頭痛時,アマージ
アミティーザカプセル２４μｇ,622182901.0,"""Medication""",2.0,カプセル,１日２回朝夕食後,アミティーザカプセル
アミラーゼアイソザイム,160026410.0,"""Examination""",1.0,回,-,アミラーゼアイソザイム
アムバロ配合錠「サンド」,622460101.0,"""Medication""",1.0,錠,１日１回朝食後,アムバロ
アムロジピン錠２．５ｍｇ「あすか」,620007819.0,"""Medication""",1,錠,１日１回夕食後,アムロジピン
アムロジピン錠２．５ｍｇ「トーワ」,620007846.0,"""Medication""",1.0,錠,１日１回朝食後,アムロジピン
アムロジピン錠５ｍｇ「あすか」,620007853.0,"""Medication""",1.0,錠,１日１回朝食後,アムロジピン
アムロジピン錠５ｍｇ「アメル」,620007854.0,"""Medication""",1.0,錠,１日１回朝食後,アムロジピン
アムロジピン錠５ｍｇ「サンド」,620007871.0,"""Medication""",1,錠,１日１回朝食後,アムロジピン
アムロジピン錠５ｍｇ「杏林」,621853203.0,"""Medication""",1.0,錠,１日１回朝食後,アムロジピン
アムロジピンＯＤ錠２．５ｍｇ「ファイザー」,622834101.0,"""Medication""",1.0,錠,１日１回朝食後,アムロジピン
アムロジピンＯＤ錠５ｍｇ「ファイザー」,622834201.0,"""Medication""",1.0,錠,１日１回朝食後,アムロジピン
アムロジン錠１０ｍｇ,621991101.0,"""Medication""",1,錠,１日１回朝食後,アムロジン
アムロジン錠５ｍｇ,620005905.0,"""Medication""",1.0,錠,１日１回朝食後,アムロジン
アムロジンＯＤ錠２．５ｍｇ,620003886.0,"""Medication""",1.0,錠,１日１回朝食後,アムロジン
アムロジンＯＤ錠５ｍｇ,620003887.0,"""Medication""",1.0,錠,１日１回朝食後,アムロジン
アメナリーフ錠２００ｍｇ,622573501.0,"""Medication""",2.0,錠,１日１回朝食後,アメナリーフ
アモキシシリンカプセル２５０ｍｇ「トーワ」,620009117.0,"""Medication""",3.0,カプセル,１日３回毎食後,アモキシシリンカプセル
アモキシシリンカプセル２５０ｍｇ「日医工」,620008584.0,"""Medication""",3.0,カプセル,１日３回毎食後,アモキシシリンカプセル
アモキシシリンカプセル２５０ｍｇ「武田テバ」,621074001.0,"""Medication""",3.0,カプセル,１日３回毎食後,アモキシシリンカプセル
アモキシシリンカプセル２５０ｍｇ「ＴＣＫ」,621073704.0,"""Medication""",6.0,カプセル,１日３回毎食後,アモキシシリンカプセル
アモキシシリン１００ｍｇ細粒,622745100.0,"""Medication""",6.0,ｇ,１日３回毎食後,アモキシシリン
アモキシシリン２５０ｍｇカプセル,622899900.0,"""Medication""",3.0,カプセル,１日３回毎食後,アモキシシリン
アラセナ−Ａ軟膏３％,620008961.0,"""Medication""",5.0,ｇ,口唇に,アラセナ
アラミスト点鼻液２７．５μｇ１２０噴霧用　５ｍｇ１０ｇ,622680401.0,"""Medication""",2.0,キット,鼻に医師の指示通り,アラミスト
アラミスト点鼻液２７．５μｇ５６噴霧用　３ｍｇ６ｇ,621911701.0,"""Medication""",1,キット,医師の指示通り,アラミスト
アリセプト錠５ｍｇ,610432043.0,"""Medication""",1.0,錠,１日１回朝食後,アリセプト
アルタットカプセル７５ｍｇ,620431502.0,"""Medication""",2.0,カプセル,１日２回朝食後及び就寝前,アルタットカプセル
アルダクトンＡ錠２５ｍｇ,620004915.0,"""Medication""",1.0,錠,１日１回朝食後,アルダクトン
アルツディスポ関節注２５ｍｇ　１％２．５ｍＬ,620004641.0,"""Injection""",1.0,筒,-,アルツディスポ
アルツディスポ関節注２５ｍｇ　１％２．５ｍＬ,620004641.0,"""Treatment""",1.0,筒,-,アルツディスポ
アルト原末　５００ｍｇ,620805001.0,"""Examination""",1,管,-,アルト
アルト原末　５００ｍｇ,620805001.0,"""Medication""",1.0,管,医師の指示通りにお使い下さい。,アルト
アルト原末　５００ｍｇ,620805001.0,"""Surgery""",1.0,管,-,アルト
アルドステロン,160034110.0,"""Examination""",1.0,回,-,アルドステロン
アルピニー坐剤１００　１００ｍｇ,660454001.0,"""Medication""",6.0,個,１回１個発熱時又は痛む時,アルピニー
アルピニー坐剤２００　２００ｍｇ,661140091.0,"""Medication""",6,個,１回２／３個発熱時又は痛む時,アルピニー
アルピニー坐剤５０　５０ｍｇ,661140092.0,"""Medication""",4.0,個,１回１個発熱時又は痛む時,アルピニー
アルファカルシドールカプセル０．５μｇ「サワイ」,620676305.0,"""Medication""",1.0,カプセル,１日１回朝食後,アルファカルシドールカプセル
アルファカルシドールカプセル１μｇ「サワイ」,620676806.0,"""Medication""",1,カプセル,１日１回朝食後,アルファカルシドールカプセル
アルファロールカプセル０．５μｇ,613110002.0,"""Medication""",2.0,カプセル,１日１回朝食後,アルファロールカプセル
アルブミン定量（尿）,160004810.0,"""Examination""",1.0,回,-,アルブミン
アルメタ軟膏　０．１％,662640683.0,"""Medication""",10,ｇ,１日２〜３回,アルメタ
アレグラドライシロップ５％,622339601.0,"""Medication""",0.6,ｇ,１日２回朝夕食後,アレグラドライシロップ
アレグラ錠３０ｍｇ,620004412.0,"""Medication""",2.0,錠,１日２回朝夕食後,アレグラ
アレグラ錠６０ｍｇ,610443040.0,"""Medication""",2.0,錠,１日２回朝夕食後,アレグラ
アレジオン点眼液０．０５％,622279001.0,"""Medication""",10.0,ｍＬ,１日右４回左４回,アレジオン
アレジオン錠１０　１０ｍｇ,614490029.0,"""Medication""",2.0,錠,１日２回朝夕食後,アレジオン
アレジオン錠２０　２０ｍｇ,614490030.0,"""Medication""",1.0,錠,１日１回就寝前,アレジオン
アレジオンＬＸ点眼液０．１％,622695901.0,"""Medication""",5.0,ｍＬ,１日右２回左２回,アレジオン
アレルギー性鼻炎免疫療法治療管理料（１月目）,113036810.0,"""Control""",1.0,回,-,性鼻炎免疫療法治療管理料
アレルギー性鼻炎免疫療法治療管理料（２月目以降）,113036910.0,"""Control""",1.0,回,-,性鼻炎免疫療法治療管理料
アレロック錠５　５ｍｇ,610443067.0,"""Medication""",2.0,錠,１日２回朝夕食後,アレロック
アレロック顆粒０．５％,622090301.0,"""Medication""",1.0,ｇ,１日２回朝食後及び就寝前,アレロック
アレロックＯＤ錠２．５　２．５ｍｇ,622014101.0,"""Medication""",2.0,錠,１日２回朝食後及び就寝前,アレロック
アレロックＯＤ錠５　５ｍｇ,622014201.0,"""Medication""",2.0,錠,１日２回朝食後及び就寝前,アレロック
アロチノロール塩酸塩錠１０ｍｇ「サワイ」,620255403.0,"""Medication""",2.0,錠,１日２回朝夕食後,アロチノロール
アロプリノール錠１００ｍｇ「あゆみ」,620856243.0,"""Medication""",1.0,錠,１日１回朝食後,アロプリノール
アロプリノール錠１００ｍｇ「アメル」,620003074.0,"""Medication""",1.0,錠,１日１回朝食後,アロプリノール
アロプリノール錠１００ｍｇ「サワイ」,620856206.0,"""Medication""",1.0,錠,１日１回朝食後,アロプリノール
アロプリノール錠１００ｍｇ「タナベ」,620856402.0,"""Medication""",2.0,錠,１日１回朝食後,アロプリノール
アローゼン顆粒,620491801.0,"""Medication""",1.0,ｇ,１日１回就寝前,アローゼン
アンクルクロス,96000276.0,"""OwnExpense""",1.0,回,-,アンクルクロス
アンテベートクリーム０．０５％,620008964.0,"""Medication""",10.0,ｇ,湿疹に,アンテベートクリーム
アンテベートローション０．０５％,660463005.0,"""Medication""",30.0,ｇ,頭に,アンテベートローション
アンテベート軟膏０．０５％,620008965.0,"""Medication""",25.0,ｇ,湿疹に,アンテベート
