order_name,order_code,recipe_category,recipe_quantity,recipe_unit,direction_usage,abbreviation
-,810000001.0,"""Comment""",-,-,-,省略危険文字列
-,810000001.0,"""Control""",-,-,-,省略危険文字列
-,810000001.0,"""Examination""",-,-,-,省略危険文字列
-,810000001.0,"""HomeCare""",-,-,-,省略危険文字列
-,810000001.0,"""Medication""",-,-,１日２回朝夕食後に,省略危険文字列
β２−マイクログロブリン（尿）,160137550.0,"""Examination""",1,回,-,マイクログロブリン
γ−ＧＴ,160020410.0,"""Examination""",1,回,-,γ−ＧＴ
【不均等投与】,1000985.0,"""Medication""",-,-,１日２回朝夕食後に,不均等投与
【粉　砕】,1000984.0,"""Medication""",-,-,１日１回就寝前に,粉砕
てんかん指導料,113002850.0,"""Control""",1,回,-,てんかん
てんかん指導料（情報通信機器）,113029610.0,"""Control""",1,回,-,てんかん
アクアチムクリーム１％,620005245.0,"""Medication""",10,ｇ,ひどいときに,アクアチムクリーム
アクアチム軟膏１％,620000348.0,"""Medication""",10,ｇ,化膿止めに,アクアチム
アジスロマイシン２５０ｍｇ錠,622848000.0,"""Medication""",1,錠,１日１回夕食後に,アジスロマイシン
アスパラカリウム錠３００ｍｇ,620004902.0,"""Medication""",2,錠,１日２回朝夕食後に,アスパラカリウム
アスベリン散１０％,620002500.0,"""Medication""",0.4,ｇ,１日２回朝夕食後に,アスベリン
アズノールうがい液４％,660463002.0,"""Medication""",10,ｍＬ,１日数回うがい,アズノール
アズノール軟膏０．０３３％,620002619.0,"""Medication""",20,ｇ,しっしんに,アズノール
アセトアミノフェン２００ｍｇ錠,622888200.0,"""Medication""",2,錠,頭痛時に,アセトアミノフェン
アタラックス−Ｐ散１０％,620000003.0,"""Medication""",0.12,ｇ,１日１回就寝前に,アタラックス
アトモキセチン錠４０ｍｇ「トーワ」,622656801.0,"""Medication""",1,錠,１日１回就寝前に,アトモキセチン
アドフィードパップ４０ｍｇ　１０ｃｍ×１４ｃｍ,620006366.0,"""Medication""",21,枚,医師の指示通りに,アドフィードパップ
アマージ錠２．５ｍｇ,620006771.0,"""Medication""",1,錠,頭痛時に,アマージ
アミノ酸（５種類以上）,160102410.0,"""Examination""",1,回,-,アミノ
アムロジピン錠２．５ｍｇ「あすか」,620007819.0,"""Medication""",1,錠,１日１回朝食後に,アムロジピン
アラミスト点鼻液２７．５μｇ５６噴霧用　３ｍｇ６ｇ,621911701.0,"""Medication""",1,キット,鼻に医師の指示通り,アラミスト
アレグラドライシロップ５％,622339601.0,"""Medication""",1.2,ｇ,１日２回朝夕食後に,アレグラドライシロップ
アレグラ錠６０ｍｇ,610443040.0,"""Medication""",2,錠,１日２回朝夕食後に,アレグラ
アレジオン錠１０　１０ｍｇ,614490029.0,"""Medication""",1,錠,１日１回就寝前に,アレジオン
アレジオン錠２０　２０ｍｇ,614490030.0,"""Medication""",1,錠,１日１回就寝前に,アレジオン
アレジオンＬＸ点眼液０．１％,622695901.0,"""Medication""",5,ｍＬ,１日右２回左２回,アレジオン
アレビアチン散１０％,610421006.0,"""Medication""",0.7,ｇ,１日１回朝食後に,アレビアチン
アレビアチン錠１００ｍｇ,611130096.0,"""Medication""",1,錠,１日１回夕食後に,アレビアチン
アレロック錠５　５ｍｇ,610443067.0,"""Medication""",2,錠,１日２回朝夕食後に,アレロック
アレロック顆粒０．５％,622090301.0,"""Medication""",2,ｇ,１日２回朝夕食後に,アレロック
アレロックＯＤ錠５　５ｍｇ,622014201.0,"""Medication""",2,錠,１日２回朝夕食後に,アレロック
アローゼン顆粒,620491801.0,"""Medication""",0.15,ｇ,１日１回夕食後に,アローゼン
アンテベート軟膏０．０５％,620008965.0,"""Medication""",25,ｇ,医師の指示通りに,アンテベート
アンヒバ坐剤小児用１００ｍｇ,620002621.0,"""Medication""",10,個,１回１個発熱時に,坐剤小児用
アンヒバ坐剤小児用２００ｍｇ,620002622.0,"""Medication""",10,個,１回１個発熱時に,坐剤小児用
アンブロキソール塩酸塩１．５％シロップ用,622730300.0,"""Medication""",1.2,ｇ,１日２回朝夕食後に,アンブロキソール
アンブロキソール塩酸塩１５ｍｇ錠,622310900.0,"""Medication""",1.8,錠,１日３回毎食後に,アンブロキソール
アンモニア,160025910.0,"""Examination""",1,回,-,アンモニア
アーテン散１％,610454002.0,"""Medication""",0.05,ｇ,１日２回朝夕食後に,アーテン
イノベロン錠１００ｍｇ,622248301.0,"""Medication""",3,錠,１日２回朝夕食後に,イノベロン
イノベロン錠２００ｍｇ,622248401.0,"""Medication""",1,錠,１日１回夕食後に,イノベロン
イノラス配合経腸用液,622676401.0,"""Medication""",187.5,ｍＬ,１日１回医師の指示通りに,配合経腸用液
イミグラン錠５０　５０ｍｇ,610451012.0,"""Medication""",1,錠,頭痛時に,イミグラン
イリボー錠２．５μｇ,620008435.0,"""Medication""",1,錠,１日１回朝食後に,イリボー
インクレミンシロップ５％,620005924.0,"""Medication""",10,ｍＬ,１日２回朝夕食後に,インクレミンシロップ
インチュニブ錠１ｍｇ,622546701.0,"""Medication""",1,錠,１日１回夕食後に,インチュニブ
インチュニブ錠３ｍｇ,622546801.0,"""Medication""",1,錠,１日１回夕食後に,インチュニブ
インデラル錠１０ｍｇ,612120016.0,"""Medication""",1,錠,１日１回朝食前に,インデラル
イーケプラドライシロップ５０％,622254801.0,"""Medication""",0.4,ｇ,１日２回朝夕食後に,イーケプラドライシロップ
イーケプラ錠２５０ｍｇ,621997401.0,"""Medication""",2,錠,１日２回朝夕食後に,イーケプラ
イーケプラ錠５００ｍｇ,621997501.0,"""Medication""",2,錠,１日２回朝夕食後に,イーケプラ
ウラリット配合錠,620858001.0,"""Medication""",4,錠,１日２回朝夕食後に,ウラリット
ウレパールクリーム１０％,620005255.0,"""Medication""",40,ｇ,医師の指示通りに,ウレパールクリーム
エクセグラン散２０％,620001972.0,"""Medication""",0.4,ｇ,１日２回朝夕食後に,エクセグラン
エクセグラン錠１００ｍｇ,611130087.0,"""Medication""",1,錠,１日１回夕食後に,エクセグラン
エスクレ坐剤「２５０」　２５０ｍｇ,661120001.0,"""Examination""",2,個,-,エスクレ
エスクレ坐剤「２５０」　２５０ｍｇ,661120001.0,"""Medication""",10,個,１回１個医師の指示通りに,エスクレ
エスクレ坐剤「５００」　５００ｍｇ,661120002.0,"""Medication""",10,個,１回１個発作時に,エスクレ
エスクレ注腸用キット「５００」　５００ｍｇ,620002623.0,"""Medication""",10,筒,１回１個発作時に,エスクレ
