order_name,order_code,yakkakjncd,recipe_category,recipe_quantity,recipe_unit,direction_usage,abbreviation
-,810000001.0,-,"""Comment""",-,-,-,省略危険文字列
-,810000001.0,-,"""Examination""",1,-,-,省略危険文字列
-,810000001.0,-,"""HomeCare""",-,-,-,省略危険文字列
-,810000001.0,-,"""Injection""",-,-,-,省略危険文字列
-,810000001.0,-,"""Medication""",-,-,医師の指示通りに,省略危険文字列
-,810000001.0,-,"""OwnExpense""",-,-,-,省略危険文字列
β２−マイクログロブリン（尿）,160137550.0,-,"""Examination""",1,回,-,マイクログロブリン
γ−ＧＴ,160020410.0,-,"""Examination""",1,回,-,γ−ＧＴ
【その他】,95000019.0,-,"""OwnExpense""",11000,円,-,その他
【その他】,95000027.0,-,"""OwnExpense""",0,円,-,その他
【インフルエンザ】,95000001.0,-,"""OwnExpense""",1650,円,-,インフルエンザ
【予防接種】,95000026.0,-,"""OwnExpense""",0,円,-,予防接種
【基本健康検査料】,95000002.0,-,"""OwnExpense""",1,回,-,基本健康検査料
【簡易診断書】,95000009.0,-,"""OwnExpense""",1,回,-,簡易診断書
【肺炎球菌】,95000024.0,-,"""OwnExpense""",4820,円,-,肺炎球菌
【診断書】,95000016.0,-,"""OwnExpense""",1,回,-,診断書
【証明書】,95000010.0,-,"""OwnExpense""",1,回,-,証明書
【Ｂ型肝炎】,95000025.0,-,"""OwnExpense""",5000,円,-,型肝炎
ア　脊髄障害の要件を満たす医学的根拠；,830100104.0,-,"""HomeCare""",1,-,-,医学的根拠
アイトロール錠２０ｍｇ,612170717.0,2171023F2020,"""Medication""",1,錠,１日２回朝夕食後に,アイトロール
アイドロイチン１％点眼液　５ｍＬ,661310284.0,1319709Q3012,"""Medication""",1,瓶,医師の指示通りに,アイドロイチン
アイピーディカプセル１００　１００ｍｇ,610407002.0,4490016M2020,"""Medication""",1,カプセル,１日３回毎食後に,アイピーディカプセル
アイミクス配合錠ＨＤ,622199301.0,2149118F2026,"""Medication""",1,錠,１日１回朝食後に,アイミクス
アイミクス配合錠ＬＤ,622199201.0,2149118F1020,"""Medication""",1,錠,１日１回朝食後に,アイミクス
アクアチムクリーム１％,620005245.0,2639700N1032,"""Medication""",10,ｇ,医師の指示通りに,アクアチムクリーム
アクトス錠１５　１５ｍｇ,610432040.0,3969007F1024,"""Medication""",1,錠,１日１回朝食後に,アクトス
アクトネル錠７５ｍｇ,622226001.0,3999019F3029,"""Medication""",1,錠,医師の指示通りに,アクトネル
アシノン錠７５ｍｇ,620005869.0,2325005F2020,"""Medication""",1,錠,１日１回朝食後に,アシノン
アジルバ錠１０ｍｇ,622341401.0,2149048F3025,"""Medication""",1,錠,１日１回朝食後に,アジルバ
アジルバ錠２０ｍｇ,622143501.0,2149048F1022,"""Medication""",1,錠,１日１回朝食後に,アジルバ
アジルバ錠４０ｍｇ,622143601.0,2149048F2029,"""Medication""",1,錠,１日１回朝食後に,アジルバ
アジレクト錠１ｍｇ,622624401.0,1169017F2021,"""Medication""",1,錠,１日１回朝食後に,アジレクト
アスパラ−ＣＡ錠２００,613210001.0,3214001F1020,"""Medication""",2,錠,１日１回朝食後に,アスパラ
アスピリン１００ｍｇ腸溶錠,622897300.0,3399007H1013,"""Medication""",1,錠,１日１回朝食後に,アスピリン
アスベリン錠１０　１０ｍｇ,620003073.0,2249003F1012,"""Medication""",2,錠,１日３回毎食後に,アスベリン
アスベリン錠２０　２０ｍｇ,612220036.0,2249003F2019,"""Medication""",1,錠,１日３回毎食後に,アスベリン
アスペノンカプセル１０　１０ｍｇ,612120232.0,2129004M1026,"""Medication""",2,カプセル,１日１回朝食後に,アスペノンカプセル
アスペノンカプセル２０　２０ｍｇ,612120233.0,2129004M2022,"""Medication""",1,カプセル,１日２回朝夕食後に,アスペノンカプセル
アズノールうがい液４％,660463002.0,2260700F1021,"""Medication""",20,ｍＬ,医師の指示通りに,アズノール
アズノール軟膏０．０３３％,620002619.0,2649716M1042,"""Medication""",20,ｇ,医師の指示通りに,アズノール
アセトアミノフェン２００ｍｇ坐剤,622770300.0,1141700J3013,"""Medication""",6,個,医師の指示通りに,アセトアミノフェン
アゼプチン錠１ｍｇ,612220478.0,4490004F2028,"""Medication""",1,錠,１日２回朝夕食後に,アゼプチン
アゼルニジピン錠１６ｍｇ「タナベ」,622243501.0,2149043F2107,"""Medication""",1,錠,１日１回朝食後に,アゼルニジピン
アゼルニジピン錠１６ｍｇ「トーワ」,622236301.0,2149043F2123,"""Medication""",1,錠,１日１回夕食後に,アゼルニジピン
アゼルニジピン錠８ｍｇ「日医工」,622230401.0,2149043F1011,"""Medication""",1,錠,１日１回夕食後に,アゼルニジピン
アゾセミド錠３０ｍｇ「ＪＧ」,622161502.0,2139008F2010,"""Medication""",1,錠,１日１回朝食後に,アゾセミド
アゾセミド錠６０ｍｇ「ＪＧ」,620270703.0,2139008F1013,"""Medication""",1,錠,１日１回朝食後に,アゾセミド
アゾセミド３０ｍｇ錠,622721400.0,2139008F2010,"""Medication""",1,錠,１日１回朝食後に,アゾセミド
アダラートＣＲ錠１０ｍｇ,610421320.0,2171014G3022,"""Medication""",1,錠,１日１回朝食後に,アダラート
アダラートＣＲ錠２０ｍｇ,610421321.0,2171014G4029,"""Medication""",1,錠,１日１回朝食後に,アダラート
アダラートＣＲ錠４０ｍｇ,610421322.0,2171014G5025,"""Medication""",1,錠,１日２回朝夕食後に,アダラート
アテキュラ吸入用カプセル中用量,622820501.0,2290806G2028,"""Medication""",14,カプセル,医師の指示通りに,アテキュラ
アテノロール錠２５ｍｇ「サワイ」,620254411.0,2123011F1015,"""Medication""",1,錠,１日１回朝食後に,アテノロール
アテノロール錠２５ｍｇ「トーワ」,620254406.0,2123011F1015,"""Medication""",1,錠,１日１回朝食後に,アテノロール
アテノロール錠５０ｍｇ「サワイ」,620254509.0,2123011F2011,"""Medication""",1,錠,１日１回朝食後に,アテノロール
アテレック錠５　５ｍｇ,610407147.0,2149037F1032,"""Medication""",1,錠,１日１回朝食後に,アテレック
アデホスコーワ腸溶錠２０　２０ｍｇ,613990039.0,3992001F1084,"""Medication""",1,錠,１日２回朝夕食後に,アデホスコーワ
アデホスコーワ顆粒１０％,620003503.0,3992001D1059,"""Medication""",1,ｇ,１日３回毎食後に,アデホスコーワ
アトルバスタチンカルシウム１０ｍｇ錠,622475100.0,2189015F2011,"""Medication""",1,錠,１日１回朝食後に,アトルバスタチンカルシウム
アトルバスタチンカルシウム５ｍｇ錠,622475000.0,2189015F1015,"""Medication""",1,錠,１日１回朝食後に,アトルバスタチンカルシウム
アトルバスタチン錠１０ｍｇ「サワイ」,622098501.0,2189015F2054,"""Medication""",1,錠,１日１回朝食後に,アトルバスタチン
アトルバスタチン錠１０ｍｇ「サンド」,622127001.0,2189015F2011,"""Medication""",1,錠,１日１回朝食後に,アトルバスタチン
アトルバスタチン錠１０ｍｇ「ＮＳ」,622244901.0,2189015F2194,"""Medication""",1,錠,１日１回夕食後に,アトルバスタチン
アトルバスタチン錠５ｍｇ「サワイ」,622098401.0,2189015F1015,"""Medication""",1,錠,１日１回朝食後に,アトルバスタチン
アトルバスタチン錠５ｍｇ「Ｍｅ」,622180602.0,2189015F1015,"""Medication""",1,錠,１日１回朝食後に,アトルバスタチン
アトルバスタチン錠５ｍｇ「ＮＳ」,622244801.0,2189015F1015,"""Medication""",1,錠,１日１回朝食後に,アトルバスタチン
アトルバスタチンＯＤ錠１０ｍｇ「トーワ」,622280801.0,2189015F4022,"""Medication""",1,錠,１日１回朝食後に,アトルバスタチン
アトルバスタチンＯＤ錠５ｍｇ「トーワ」,622280701.0,2189015F3026,"""Medication""",1,錠,１日１回朝食後に,アトルバスタチン
アトーゼット配合錠ＨＤ,622584201.0,2189101F2026,"""Medication""",1,錠,１日１回朝食後に,アトーゼット
アトーゼット配合錠ＬＤ,622584101.0,2189101F1020,"""Medication""",1,錠,１日１回朝食後に,アトーゼット
アドエア１２５エアゾール１２０吸入用　１２．０ｇ,621981201.0,2290800G8029,"""Medication""",2,瓶,１回２吸入１日２回,エアゾール
アドエア２５０エアゾール１２０吸入用　１２．０ｇ,621981301.0,2290800G9025,"""Medication""",1,瓶,１回１吸入１日２回,エアゾール
アドエア２５０ディスカス２８吸入用　２８ブリスター,621781501.0,2290800G2039,"""Medication""",2,キット,１回１吸入１日２回,ディスカス
アドエア２５０ディスカス６０吸入用　６０ブリスター,621829601.0,2290800G5038,"""Medication""",1,キット,１回１吸入１日２回,ディスカス
アドエア５００ディスカス２８吸入用　２８ブリスター,621781601.0,2290800G3035,"""Medication""",1,キット,１回１吸入１日２回,ディスカス
アニュイティ２００μｇエリプタ３０吸入用,622552301.0,2290705G2025,"""Medication""",1,キット,１回１吸入１日１回,アニュイティ
アノーロエリプタ３０吸入用,622426401.0,2259806G2028,"""Medication""",1,キット,１回１吸入１日１回,アノーロエリプタ
アバプロ錠１００ｍｇ,620006794.0,2149046F2020,"""Medication""",1,錠,１日１回夕食後に,アバプロ
アバプロ錠５０ｍｇ,620006793.0,2149046F1023,"""Medication""",1,錠,１日１回朝食後に,アバプロ
アベロックス錠４００ｍｇ,620003125.0,6241016F1028,"""Medication""",1,錠,１日１回夕食後に,アベロックス
アボルブカプセル０．５ｍｇ,621927601.0,2499011M1027,"""Medication""",1,カプセル,１日１回朝食後に,アボルブカプセル
アマリール１ｍｇ錠,610443002.0,3961008F1020,"""Medication""",1,錠,１日１回夕食後に,アマリール
アマルエット配合錠１番「サワイ」,622456901.0,2190101F1080,"""Medication""",1,錠,１日１回朝食後に,アマルエット
アマルエット配合錠２番「サワイ」,622457001.0,2190102F1017,"""Medication""",1,錠,１日１回朝食後に,アマルエット
アマルエット配合錠２番「ニプロ」,622467901.0,2190102F1122,"""Medication""",1,錠,１日１回朝食後に,アマルエット
アマルエット配合錠３番「サワイ」,622457101.0,2190103F1011,"""Medication""",1,錠,１日１回朝食後に,アマルエット
アマルエット配合錠３番「トーワ」,622447801.0,2190103F1011,"""Medication""",1,錠,１日１回朝食後に,アマルエット
アマルエット配合錠３番「ニプロ」,622468001.0,2190103F1011,"""Medication""",1,錠,１日１回朝食後に,アマルエット
