order_name,order_code,yakkakjncd,recipe_category,recipe_quantity,recipe_unit,direction_usage,abbreviation
-,810000001.0,-,"""Comment""",-,-,-,省略危険文字列
-,810000001.0,-,"""Control""",-,-,-,省略危険文字列
-,810000001.0,-,"""Examination""",1,-,-,省略危険文字列
-,810000001.0,-,"""HomeCare""",1,-,-,省略危険文字列
-,810000001.0,-,"""Injection""",1,-,-,省略危険文字列
-,810000001.0,-,"""Medication""",-,-,発作時にお使い下さい。,省略危険文字列
-,810000001.0,-,"""OtherExpense""",-,-,-,省略危険文字列
-,810000001.0,-,"""OwnExpense""",-,-,-,省略危険文字列
γ−ＧＴ,160020410.0,-,"""Examination""",1,回,-,γ−ＧＴ
−−−−−−−−−００８５−−−−−−−−−,8500000.0,-,"""Examination""",-,-,-,−−−−−−−−−００８５−−−−−−−−−
−−−−−−−−−００８５−−−−−−−−−,8500000.0,-,"""Medication""",-,-,１回１吸入１日１回,−−−−−−−−−００８５−−−−−−−−−
【ジェネシス】６０００,96000230.0,-,"""OwnExpense""",1,回,-,６０００
【脱毛】指定なし,96000233.0,-,"""OwnExpense""",14960,円,-,指定なし
あや内科クリニックワクチン接種汎用,96000236.0,-,"""OwnExpense""",0,円,-,クリニックワクチン
あや内科クリニック自費診療　汎用（税込）,96000235.0,-,"""OwnExpense""",0,円,-,自費診療汎用
アクアチムクリーム１％,620005245.0,2639700N1032,"""Medication""",10,ｇ,１日１回お使い下さい。,アクアチムクリーム
アジルサルタン錠２０ｍｇ「武田テバ」,622941301.0,-,"""Medication""",1,錠,１日１回朝食後,アジルサルタン
アジルバ錠２０ｍｇ,622143501.0,2149048F1022,"""Medication""",1,錠,１日１回就寝前,アジルバ
アスベリンシロップ０．５％,620002502.0,2249003Q1048,"""Medication""",3,ｍＬ,１日３回毎食後,アスベリンシロップ
アスベリン散１０％,620002500.0,2249003B1037,"""Medication""",0.6,ｇ,１日３回毎食後,アスベリン
アズノール軟膏０．０３３％,620002619.0,2649716M1042,"""Medication""",20,ｇ,１日１回お使い下さい。,アズノール
アタラックス−Ｐカプセル２５ｍｇ,620003498.0,1179019M1046,"""Medication""",1,カプセル,１日１回就寝前,アタラックス
アダラートＣＲ錠２０ｍｇ,610421321.0,2171014G4029,"""Medication""",2,錠,１日２回朝夕食前,アダラート
アテノロール錠２５ｍｇ「サワイ」,620254411.0,2123011F1015,"""Medication""",1,錠,１日１回朝食後,アテノロール
アテレック錠１０　１０ｍｇ,610407148.0,2149037F2039,"""Medication""",1,錠,１日１回朝食後,アテレック
アデホスコーワ腸溶錠２０　２０ｍｇ,613990039.0,3992001F1084,"""Medication""",6,錠,１日３回毎食後,アデホスコーワ
アドエア１００ディスカス６０吸入用　６０ブリスター,621829501.0,2290800G4031,"""Medication""",2,キット,１回１吸入１日２回,ディスカス
アニュイティ１００μｇエリプタ３０吸入用,622552201.0,2290705G1029,"""Medication""",2,キット,１回１吸入１日１回,アニュイティ
アフロクアロン錠２０ｍｇ「サワイ」,620191201.0,1249008F1010,"""Medication""",2,錠,１日２回朝夕食後,アフロクアロン
アポハイドローション２０％,622930601.0,-,"""Medication""",8.64,ｇ,１日１回お使い下さい。,アポハイドローション
アミラーゼアイソザイム,160026410.0,-,"""Examination""",1,回,-,アミラーゼアイソザイム
アムロジピン錠５ｍｇ「ファイザー」,622833901.0,2171022F2017,"""Medication""",1,錠,１日１回朝食後,アムロジピン
アムロジピンＯＤ錠２．５ｍｇ「ファイザー」,622834101.0,2171022F3013,"""Medication""",1,錠,１日１回朝食後,アムロジピン
アムロジピンＯＤ錠５ｍｇ「ファイザー」,622834201.0,2171022F4010,"""Medication""",1,錠,１日１回朝食後,アムロジピン
アモバン錠１０　１０ｍｇ,611120112.0,1129007F2022,"""Medication""",1,錠,１日１回就寝前,アモバン
アラセナ−Ａ軟膏３％,620008961.0,6250700M1189,"""Medication""",2,ｇ,１日１回お使い下さい。,アラセナ
アリナミンＦ５０注　５０ｍｇ２０ｍＬ,643120014.0,-,"""Injection""",1,管,-,アリナミン
アルドステロン,160034110.0,-,"""Examination""",1,回,-,アルドステロン
アルファカルシドールカプセル０．５μｇ「サワイ」,620676305.0,3112001M2018,"""Medication""",1,カプセル,１日１回夕食後,アルファカルシドールカプセル
アルファカルシドールカプセル０．５μｇ「フソー」,620676317.0,3112001M2018,"""Medication""",1,カプセル,１日１回夕食後,アルファカルシドールカプセル
アルプラゾラム錠０．４ｍｇ「アメル」,620049801.0,1124023F1010,"""Medication""",2,錠,１日２回朝夕食後,アルプラゾラム
アレグラ錠６０ｍｇ,610443040.0,4490023F1024,"""Medication""",2,錠,１日２回朝夕食後,アレグラ
アレサガテープ４ｍｇ,622607101.0,4490700S1029,"""Medication""",30,枚,１日１回お使い下さい。,アレサガテープ
アレジオン錠２０　２０ｍｇ,614490030.0,4490014F2021,"""Medication""",1,錠,１日１回夕食後,アレジオン
アレジオンＬＸ点眼液０．１％,622695901.0,1319762Q2024,"""Medication""",5,ｍＬ,医師の指示通り,アレジオン
アレルゲン免疫療法（減感作療法）に関する説明内容（ゾレア皮下注；,830600060.0,-,"""Injection""",-,-,-,アレルゲン
アレロックＯＤ錠５　５ｍｇ,622014201.0,4490025F4022,"""Medication""",2,錠,１日２回朝食後及び就寝前,アレロック
アロプリノール錠１００ｍｇ「サワイ」,620856206.0,3943001F1012,"""Medication""",1,錠,１日１回朝食後,アロプリノール
アンテベートローション０．０５％,660463005.0,2646730Q1026,"""Medication""",20,ｇ,１日１回お使い下さい。,アンテベートローション
アンテベート軟膏０．０５％,620008965.0,2646730M1059,"""Medication""",80,ｇ,医師の指示通り,アンテベート
アンブロキソール塩酸塩０．３％シロップ,622730200.0,2239001Q1018,"""Medication""",5,ｍＬ,１日３回毎食後,アンブロキソール
イコサペント酸エチル粒状カプセル９００ｍｇ「ＴＣＫ」,620007896.0,3399004M4017,"""Medication""",1,包,１日１回朝食後,イコサペント
イソジンガーグル液７％,620008969.0,2260701F1271,"""Medication""",30,ｍＬ,希釈してうがい,イソジンガーグル
イソジン液１０％,620007579.0,-,"""Surgery""",3,ｍＬ,-,イソジン
イトプリド塩酸塩錠５０ｍｇ「サワイ」,620007904.0,2399008F1012,"""Medication""",3,錠,１日３回毎食前,イトプリド
イナビル吸入粉末剤２０ｍｇ,622012101.0,6250703G1022,"""Medication""",2,キット,１日１回お使い下さい。,吸入粉末剤
