order_name,order_code,yakkakjncd,recipe_category,recipe_quantity,recipe_unit,direction_usage,abbreviation
-,810000001.0,-,"""Comment""",-,-,-,省略危険文字列
-,810000001.0,-,"""Examination""",-,-,-,省略危険文字列
-,810000001.0,-,"""HomeCare""",-,-,-,省略危険文字列
-,810000001.0,-,"""Injection""",-,-,-,省略危険文字列
-,810000001.0,-,"""Medication""",-,-,１日２回,省略危険文字列
-,810000001.0,-,"""OwnExpense""",-,-,-,省略危険文字列
-,810000001.0,-,"""Surgery""",-,-,-,省略危険文字列
γ－ＧＴ,160020410.0,-,"""Examination""",1,回,-,γ－ＧＴ
★１日おきに、お飲み下さい。,1000003.0,-,"""Medication""",-,-,１日１回朝食後に,おきに
いぼ焼灼法（３箇所以下）,140012010.0,-,"""Treatment""",1,回,-,焼灼法
いぼ焼灼法（４箇所以上）,140012110.0,-,"""Treatment""",1,回,-,焼灼法
いぼ等冷凍凝固法（３箇所以下）,140012410.0,-,"""Treatment""",1,回,-,等冷凍凝固法
いぼ等冷凍凝固法（４箇所以上）,140012510.0,-,"""Treatment""",1,回,-,等冷凍凝固法
アイトロール錠２０ｍｇ,612170717.0,2171023F2020,"""Medication""",2,錠,１日２回朝夕食後に,アイトロール
アイミクス配合錠ＨＤ,622199301.0,2149118F2026,"""Medication""",1,錠,１日１回朝食後に,アイミクス
アイミクス配合錠ＬＤ,622199201.0,2149118F1020,"""Medication""",1,錠,１日１回朝食後に,アイミクス
アクアチムクリーム１％,620005245.0,2639700N1032,"""Medication""",10,ｇ,１日２回,アクアチムクリーム
アザルフィジンＥＮ錠５００ｍｇ,620004897.0,6219001H1056,"""Medication""",2,錠,１日２回朝夕食後に,アザルフィジン
アシクロビル顆粒４０％「サワイ」,621444801.0,6250002D1016,"""Medication""",2,ｇ,１日４回毎食後及び就寝前に,アシクロビル
アジルバ錠１０ｍｇ,622341401.0,2149048F3025,"""Medication""",1,錠,１日１回朝食後に,アジルバ
アジルバ錠２０ｍｇ,622143501.0,2149048F1022,"""Medication""",1,錠,１日１回朝食後に,アジルバ
アジルバ錠４０ｍｇ,622143601.0,2149048F2029,"""Medication""",1,錠,１日１回朝食後に,アジルバ
アストミン錠１０ｍｇ,620004432.0,2229001F1053,"""Medication""",6,錠,１日３回毎食後に,アストミン
アスパラ－ＣＡ錠２００,613210001.0,3214001F1020,"""Medication""",2,錠,１日２回朝夕食後に,アスパラ
アスベリンドライシロップ２％,620002503.0,2249003R1043,"""Medication""",3,ｇ,１日３回毎食後に,アスベリンドライシロップ
アスベリン錠２０　２０ｍｇ,612220036.0,2249003F2019,"""Medication""",3,錠,１日３回毎食後に,アスベリン
アスペノンカプセル２０　２０ｍｇ,612120233.0,2129004M2022,"""Medication""",3,カプセル,１日３回毎食後に,アスペノンカプセル
アズノールうがい液４％,660463002.0,2260700F1021,"""Medication""",10,ｍＬ,１日２回お使い下さい。,アズノール
アゼプチン錠１ｍｇ,612220478.0,4490004F2028,"""Medication""",2,錠,１日２回朝夕食後に,アゼプチン
アゾセミド錠３０ｍｇ「ＪＧ」,622161502.0,2139008F2010,"""Medication""",1,錠,１日１回朝食後に,アゾセミド
アタラックス錠１０ｍｇ,620003497.0,1179005F1053,"""Medication""",1,錠,頓服薬,アタラックス
アダラートＣＲ錠２０ｍｇ,610421321.0,2171014G4029,"""Medication""",1,錠,１日１回朝食後に,アダラート
アダラートＣＲ錠４０ｍｇ,610421322.0,2171014G5025,"""Medication""",1,錠,１日１回朝食後に,アダラート
アテノロール錠５０ｍｇ「トーワ」,620254517.0,2123011F2011,"""Medication""",1,錠,１日１回朝食後に,アテノロール
