order_name,order_code,recipe_category,recipe_quantity,recipe_unit,direction_usage,abbreviation
-,810000001.0,"""Control""",-,-,-,省略危険文字列
-,810000001.0,"""Examination""",1,-,-,省略危険文字列
-,810000001.0,"""Injection""",-,-,-,省略危険文字列
-,810000001.0,"""Medication""",1,-,１日２回,省略危険文字列
-,810000001.0,"""OwnExpense""",1,-,-,省略危険文字列
-,810000001.0,"""Rehabilitation""",1,-,-,省略危険文字列
-,810000001.0,"""Surgery""",1,-,-,省略危険文字列
-,810000001.0,"""Treatment""",1,-,-,省略危険文字列
γ−ＧＴ,160020410.0,"""Examination""",1,回,-,γ−ＧＴ
いぼ等冷凍凝固法（３箇所以下）,140012410.0,"""Treatment""",1,回,-,等冷凍凝固法
いぼ等冷凍凝固法（４箇所以上）,140012510.0,"""Treatment""",1,回,-,等冷凍凝固法
アカルボース,96000515.0,"""OwnExpense""",100,回,-,アカルボース
アクアチムクリーム１％,620005245.0,"""Medication""",10,ｇ,１日２回　朝・夜に塗って下さい,アクアチムクリーム
アクアチムクリーム１％,620005245.0,"""Treatment""",1,ｇ,-,アクアチムクリーム
アクアチムローション１％,620005246.0,"""Medication""",40,ｍＬ,１日２回お使い下さい。,アクアチムローション
アクアチム軟膏１％,620000348.0,"""Medication""",10,ｇ,１日２回お使い下さい。,アクアチム
アクアチム軟膏１％,620000348.0,"""Surgery""",2,ｇ,-,アクアチム
アクアチム軟膏１％,620000348.0,"""Treatment""",2,ｇ,-,アクアチム
アクアピーリング　顔　初回トライアル,96000579.0,"""OwnExpense""",1,回,-,アクアピーリング
アクアピーリング　顔　１回,96000580.0,"""OwnExpense""",1,回,-,アクアピーリング
アクアピーリング　顔　３回,96000581.0,"""OwnExpense""",1,回,-,アクアピーリング
アクトシン軟膏３％,620007553.0,"""Medication""",30,ｇ,１日１回お使い下さい。,アクトシン
アスベリンシロップ０．５％,620002502.0,"""Medication""",3,ｍＬ,１日２回朝夕食後に,アスベリンシロップ
アズノール軟膏０．０３３％,620002619.0,"""Medication""",20,ｇ,１日１回お使い下さい。,アズノール
アズノール軟膏０．０３３％,620002619.0,"""Treatment""",1,ｇ,-,アズノール
アゼライン酸クリーム,96000606.0,"""OwnExpense""",1,回,-,アゼライン
アタラックス錠１０ｍｇ,620003497.0,"""Medication""",2,錠,１日２回朝食後及び就寝前に,アタラックス
アダパレンゲル０．１％「ＹＤ」,622574601.0,"""Medication""",30,ｇ,１日１回夜に,アダパレンゲル
アドナ錠３０ｍｇ,620002506.0,"""Medication""",2,錠,１日２回朝夕食後に,アドナ
アナペイン注７．５ｍｇ／ｍＬ　０．７５％１０ｍＬ,640451002.0,"""Surgery""",1,管,-,アナペイン
アポハイドローション２０％,622930601.0,"""Medication""",4.32,ｇ,１日１回お使い下さい。,アポハイドローション
アラセナ−Ａ軟膏３％,620008961.0,"""Medication""",5,ｇ,１日４回,アラセナ
アレグラ錠６０ｍｇ,610443040.0,"""Medication""",2,錠,１日２回朝食後及び就寝前に,アレグラ
アレジオン点眼液０．０５％,622279001.0,"""Medication""",10,ｍＬ,１日４回,アレジオン
アレジオン錠２０　２０ｍｇ,614490030.0,"""Medication""",1,錠,１日１回就寝前に,アレジオン
アレジオンＬＸ点眼液０．１％,622695901.0,"""Medication""",5,ｍＬ,１日２回お使い下さい。,アレジオン
アレロック錠５　５ｍｇ,610443067.0,"""Medication""",2,錠,１日２回,アレロック
アレロック顆粒０．５％,622090301.0,"""Medication""",1,ｇ,１日２回朝食後及び就寝前に,アレロック
アレロックＯＤ錠５　５ｍｇ,622014201.0,"""Medication""",2,錠,１日２回朝食後及び就寝前に,アレロック
アンテベートクリーム０．０５％,620008964.0,"""Medication""",20,ｇ,かゆい部位に,アンテベートクリーム
アンテベートローション０．０５％,660463005.0,"""Medication""",30,ｇ,頭に,アンテベートローション
アンテベート軟膏０．０５％,620008965.0,"""Medication""",5,ｇ,１日２回,アンテベート
アンテベート軟膏０．０５％,620008965.0,"""Treatment""",2,ｇ,-,アンテベート
アンヒバ坐剤小児用１００ｍｇ,620002621.0,"""Medication""",10,個,１回１個１日１回医師の指示通りに,坐剤小児用
イソジンゲル１０％,620007580.0,"""Medication""",12,ｇ,１日１回お使い下さい。,イソジンゲル
インナーモイストＴＡローション,96000583.0,"""OwnExpense""",1,回,-,インナーモイスト
インプラノン抜去,96000526.0,"""OwnExpense""",1,回,-,インプラノン
ウレパールクリーム１０％,620005255.0,"""Medication""",40,ｇ,手の湿疹に,ウレパールクリーム
ウレパールローション１０％,620005256.0,"""Medication""",200,ｇ,カサカサした所に,ウレパールローション
エキザルベ,662640043.0,"""Medication""",10,ｇ,１日２回,エキザルベ
エクスフォリエーティングクレンザー,96000482.0,"""OwnExpense""",1,回,-,エクスフォリエーティングクレンザー
エクスフォリエーティングクレンザー,96000482.0,"""Rehabilitation""",1,回,-,エクスフォリエーティングクレンザー
エクスフォリエーティングポリッシュ,96000483.0,"""Rehabilitation""",1,回,-,エクスフォリエーティングポリッシュ
エクラープラスター２０μｇ／ｃｍ２　１．５ｍｇ７．５×１０ｃｍ,620007608.0,"""Medication""",2,回,医師の指示通りに,エクラープラスター
エクロックゲル５％,622835201.0,"""Medication""",40,ｇ,１日１回お使い下さい。,エクロックゲル
エピデュオゲル,622510101.0,"""Medication""",30,ｇ,１日１回夜に,エピデュオゲル
エレクトロポレーション　スタンダード,96000101.0,"""Rehabilitation""",1,回,-,エレクトロポレーションスタンダード
エレクトロポレーション　追加ＥＰスタンダード,96000107.0,"""Rehabilitation""",1,回,-,エレクトロポレーション
オキサロールローション２５μｇ／ｇ　０．００２５％,620005258.0,"""Medication""",10,ｇ,頭に,オキサロールローション
オキサロール軟膏２５μｇ／ｇ　０．００２５％,620003846.0,"""Medication""",10,ｇ,１日２回,オキサロール
オルテクサー口腔用軟膏０．１％,620509101.0,"""Medication""",5,ｇ,１日３～４回　塗って下さい,オルテクサー
オーグメンチン配合錠２５０ＲＳ　３７５ｍｇ,621116301.0,"""Medication""",3,錠,１日３回毎食後に,オーグメンチン
