order_name,order_code,recipe_category,recipe_quantity,recipe_unit,direction_usage,abbreviation
-,810000001.0,"""Comment""",-,-,-,省略危険文字列
-,810000001.0,"""Examination""",-,-,-,省略危険文字列
-,810000001.0,"""Injection""",-,-,-,省略危険文字列
-,810000001.0,"""Medication""",-,-,１日２回,省略危険文字列
-,810000001.0,"""OwnExpense""",-,-,-,省略危険文字列
-,810000001.0,"""Pathological""",-,-,-,省略危険文字列
-,810000001.0,"""Surgery""",1,-,-,省略危険文字列
-,810000001.0,"""Treatment""",-,-,-,省略危険文字列
γ−ＧＴ,160020410.0,"""Examination""",1,回,-,γ−ＧＴ
★・・ＭｉＸ・・,1000025.0,"""Medication""",-,-,１日２回,ＭｉＸ
　　　月　　日,840000059.0,"""Treatment""",09-22,-,-,月日
いぼレーザー（〜１００個）,96002095.0,"""OwnExpense""",1,回,-,レーザー
いぼレーザー（１０１個〜）,96002100.0,"""OwnExpense""",1,回,-,レーザー
いぼ焼灼法（３箇所以下）,140012010.0,"""Treatment""",1,回,-,焼灼法
いぼ等冷凍凝固法（３箇所以下）,140012410.0,"""Treatment""",1,回,-,等冷凍凝固法
いぼ等冷凍凝固法（４箇所以上）,140012510.0,"""Treatment""",1,回,-,等冷凍凝固法
その他,96001016.0,"""OwnExpense""",6600,円,-,その他
にんにく注射,96002430.0,"""OwnExpense""",0,円,-,にんにく
にんにく注射（１Ａ）,96002420.0,"""OwnExpense""",1,回,-,にんにく
ほくろレーザー,96002090.0,"""OwnExpense""",3300,円,-,レーザー
ほくろレーザー（※フリー入力）,96002090.0,"""OwnExpense""",0,円,-,レーザー
ほくろレーザー（４ｍｍ）,96002055.0,"""OwnExpense""",1,回,-,レーザー
アクアチムクリーム１％,620005245.0,"""Medication""",10,ｇ,１日２回お使い下さい。,アクアチムクリーム
アクアチムローション１％,620005246.0,"""Medication""",20,ｍＬ,１日２回お使い下さい。,アクアチムローション
アクアチム軟膏１％,620000348.0,"""Medication""",10,ｇ,１日２回,アクアチム
アクトシン軟膏３％,620007553.0,"""Medication""",10,ｇ,１日１回お使い下さい。,アクトシン
アクロマイシン軟膏３％　３０ｍｇ,620007559.0,"""Medication""",10,ｇ,１日１〜２回,アクロマイシン
アクロマイシンＶカプセル２５０ｍｇ,616150002.0,"""Medication""",2,カプセル,１日２回昼食後及び就寝前に,アクロマイシン
アスタット軟膏１％,620008958.0,"""Medication""",10,ｇ,１日１回お使い下さい。,アスタット
アズノール軟膏０．０３３％,620002619.0,"""Medication""",10,ｇ,１日２回,アズノール
アズノール軟膏０．０３３％,620002619.0,"""Treatment""",2,ｇ,-,アズノール
アタラックス−Ｐカプセル２５ｍｇ,620003498.0,"""Medication""",2,カプセル,１日２回朝夕食後に,アタラックス
アポハイドローション２０％,622930601.0,"""Medication""",4.32,ｇ,１日１回お使い下さい。,アポハイドローション
アメナリーフ錠２００ｍｇ,622573501.0,"""Medication""",2,錠,１日１回夕食後に,アメナリーフ
アラセナ−Ａ軟膏３％,620008961.0,"""Medication""",5,ｇ,１日２〜３回,アラセナ
アラミスト点鼻液２７．５μｇ５６噴霧用　３ｍｇ６ｇ,621911701.0,"""Medication""",1,キット,医師の指示通りに,アラミスト
アレグラ錠３０ｍｇ,620004412.0,"""Medication""",2,錠,１日２回朝夕食後に,アレグラ
アレグラ錠６０ｍｇ,610443040.0,"""Medication""",2,錠,１日２回朝夕食後に,アレグラ
アレジオン錠２０　２０ｍｇ,614490030.0,"""Medication""",1,錠,１日１回夕食後に,アレジオン
アレジオンＬＸ点眼液０．１％,622695901.0,"""Medication""",5,ｍＬ,１日右２回左２回,アレジオン
