order_name,order_code,yakkakjncd,recipe_category,recipe_quantity,recipe_unit,direction_usage,abbreviation
-,810000001,-,"""Injection""",-,-,-,省略危険文字列
-,810000001,-,"""Medication""",-,-,医師の指示通りに,省略危険文字列
-,810000001,-,"""Surgery""",1.0,-,-,省略危険文字列
-,810000001,-,"""Treatment""",-,-,-,省略危険文字列
アイオピジンＵＤ点眼液１％　０．１ｍＬ,620005244,-,"""Surgery""",2.0,個,-,アイオピジン
アイファガン点眼液０．１％,622150001,1319761Q1023,"""Medication""",10.0,ｍＬ,１日右２回左２回,アイファガン
アイベータ配合点眼液,622698001,1319824Q1020,"""Medication""",5.0,ｍＬ,１日右２回左２回,アイベータ
アイラミド配合懸濁性点眼液,622795101,1319825Q1025,"""Medication""",15.0,ｍＬ,１日右２回左２回,配合懸濁性点眼液
アイリーア硝子体内注射液４０ｍｇ／ｍＬ　２ｍｇ０．０５ｍＬ,622199401,-,"""Injection""",1.0,瓶,-,硝子体内注射液
アジマイシン点眼液１％,622688701,1317714Q1024,"""Medication""",2.5,ｍＬ,医師の指示通りに,アジマイシン
アゾルガ配合懸濁性点眼液,622278801,1319821Q1027,"""Medication""",10.0,ｍＬ,１日右２回左２回,配合懸濁性点眼液
アダプチノール錠５ｍｇ,620207901,1319004F1035,"""Medication""",3.0,錠,分３毎食後,アダプチノール
アデノウイルス抗原定性（糞便を除く。）,160148810,-,"""Examination""",1.0,回,-,アデノウイルス
アデホスコーワ腸溶錠６０　６０ｍｇ,613990041,3992001F3028,"""Medication""",3.0,錠,１日３回毎食後に,アデホスコーワ
アプレース錠１００ｍｇ,612320381,2329015F2022,"""Medication""",2.0,錠,１日２回朝夕食後に,アプレース
アラミスト点鼻液２７．５μｇ５６噴霧用　３ｍｇ６ｇ,621911701,1329711Q1021,"""Medication""",3.0,キット,★ただし１日１回まで,アラミスト
アレグラ錠６０ｍｇ,610443040,4490023F1024,"""Medication""",2.0,錠,１日２回朝夕食後に,アレグラ
アレジオン点眼液０．０５％,622279001,1319762Q1028,"""Medication""",10.0,ｍＬ,１日右４回左４回,アレジオン
アレジオン錠２０　２０ｍｇ,614490030,4490014F2021,"""Medication""",1.0,錠,１日１回就寝前に,アレジオン
アレジオンＬＸ点眼液０．１％,622695901,1319762Q2024,"""Medication""",10.0,ｍＬ,１日右２回左２回,アレジオン
エイゾプト懸濁性点眼液１％,620005257,1319748Q1036,"""Medication""",10.0,ｍＬ,１日右３回左３回,懸濁性点眼液
エイベリス点眼液０．００２％,622653101,1319764Q1027,"""Medication""",2.5,ｍＬ,１日右１回左１回,エイベリス
エピナスチン塩酸塩点眼液０．０５％「日新」,622862101,1319762Q1109,"""Medication""",10.0,ｍＬ,１日右４回左４回,エピナスチン
エピナスチン塩酸塩２０ｍｇ錠,622311300,4490014F2013,"""Medication""",1.0,錠,分１就寝前,エピナスチン
エムラクリーム,622138101,-,"""Surgery""",1.0,ｇ,-,エムラクリーム
オキシグルタチオン眼灌流液０．０１８４％「センジュ」　５００ｍＬ,621457801,-,"""Surgery""",1.0,キット,-,オキシグルタチオン
オビソート注射用０．１ｇ　１００ｍｇ（溶解液付）,620008364,-,"""Surgery""",1.0,管,-,オビソート
オフサロン点眼液　５ｍＬ,661310299,1319802Q2020,"""Medication""",2.0,瓶,医師の指示通りに,オフサロン
オロパタジン点眼液０．１％「サワイ」,622882401,1319752Q1059,"""Medication""",15.0,ｍＬ,１日右４回左４回,オロパタジン
カリウム,160021410,-,"""Examination""",1.0,回,-,カリウム
カルナクリン錠５０　５０単位,610454024,2491001F6060,"""Medication""",2.0,錠,１日２回朝夕食後に,カルナクリン
ガチフロ点眼液０．３％,620008984,1319749Q1030,"""Medication""",5.0,ｍＬ,医師の指示通りに,ガチフロ
キサラタン点眼液０．００５％,620224801,1319739Q1037,"""Medication""",2.5,ｍＬ,１日右１回左１回,キサラタン
キシロカイン注ポリアンプ２％　５ｍＬ,620007264,-,"""Anesthesia""",1.0,管,-,キシロカイン
キシロカイン注ポリアンプ２％　５ｍＬ,620007264,-,"""Surgery""",1.0,管,-,キシロカイン
キシロカイン点眼液４％,620003853,-,"""Surgery""",0.5,ｍＬ,-,キシロカイン
クレアチニン,160019210,-,"""Examination""",1.0,回,-,クレアチニン
クロモグリク酸Ｎａ点眼液２％「タカタ」　１００ｍｇ５ｍＬ,620215402,1319717Q1383,"""Medication""",3.0,瓶,医師の指示通りに,クロモグリク
グラアルファ配合点眼液,622927701,1319826Q1020,"""Medication""",5.0,ｍＬ,１日右２回左２回,グラアルファ
グラナテック点眼液０．４％,622374601,1319763Q1022,"""Medication""",5.0,ｍＬ,１日右２回左２回,グラナテック
グルコース,160019410,-,"""Examination""",1.0,回,-,グルコース
ケナコルト−Ａ筋注用関節腔内用水懸注４０ｍｇ／１ｍＬ,620004660,-,"""Injection""",1.0,瓶,-,筋注用関節腔内用水懸注
ケフラールカプセル２５０ｍｇ,616130110,6132005M1059,"""Medication""",3.0,カプセル,１日３回毎食後に,ケフラールカプセル
ケフラール細粒小児用１００ｍｇ,616130112,6132005C1053,"""Medication""",3.0,ｇ,１日３回毎食後に,ケフラール
コソプト配合点眼液,621984801,1319819Q1020,"""Medication""",5.0,ｍＬ,１日右２回左２回,配合点眼液
コンタクトレンズ検査料１,160208110,-,"""Examination""",1.0,回,-,コンタクトレンズ
コントラスト感度検査,160213510,-,"""Examination""",1.0,回,-,コントラスト
サンコバ点眼液０．０２％　５ｍＬ,620005266,1319710Q2078,"""Medication""",3.0,瓶,医師の指示通りに,サンコバ
サンピロ点眼液２％　５ｍＬ,620199001,1312701Q3082,"""Medication""",2.0,瓶,１日右３回左３回,サンピロ
ザイザル錠５ｍｇ,622036701,4490028F1027,"""Medication""",1.0,錠,１日１回就寝前に,ザイザル
ザラカム配合点眼液,621974201,1319817Q1020,"""Medication""",2.5,ｍＬ,１日右１回,配合点眼液
シアノコバラミン点眼液０．０２％「ニットー」　５ｍＬ,621467201,1319710Q2019,"""Medication""",2.0,瓶,医師の指示通りに,シアノコバラミン
シアノコバラミン点眼液０．０２％「日点」　５ｍＬ,620213501,1319710Q2019,"""Medication""",6.0,瓶,医師の指示通りに,シアノコバラミン
シェルガン０．５眼粘弾剤　０．５ｍＬ,622478201,-,"""Surgery""",1.0,筒,-,シェルガン
シナール配合錠,620721301,3179115F2034,"""Medication""",3.0,錠,分３毎食後,シナール
ジアグノグリーン注射用２５ｍｇ　（溶解液付）,620007311,-,"""Surgery""",1.0,瓶,-,ジアグノグリーン
ジクアス点眼液３％　５ｍＬ,621985701,1319758Q1021,"""Medication""",2.0,瓶,医師の指示通りに,ジクアス
ジクアスＬＸ点眼液３％　５ｍＬ,622924301,1319758Q2028,"""Medication""",2.0,瓶,１日右３回左３回,ジクアス
スリットＭ（前・後眼部）,160081610,-,"""Examination""",1.0,回,-,スリット
スリットＭ（前・後眼部）後生体染色使用再検査,160146550,-,"""Examination""",1.0,回,-,後生体染色使用再検査
スリットＭ（前眼部）,160084510,-,"""Examination""",1.0,回,-,スリット
スリットＭ（前眼部）後生体染色使用再検査,160084650,-,"""Examination""",1.0,回,-,後生体染色使用再検査
セフカペンピボキシル塩酸塩錠１００ｍｇ「トーワ」,621947601,6132016F2011,"""Medication""",3.0,錠,１日３回毎食後に,セフカペンピボキシル
タプコム配合点眼液,622279101,1319822Q1021,"""Medication""",2.5,ｍＬ,１日右１回,配合点眼液
タプロスミニ点眼液０．００１５％　０．３ｍＬ,622248201,1319756Q2029,"""Medication""",30.0,個,１日右１回左１回,タプロスミニ
タプロス点眼液０．００１５％,620008568,1319756Q1022,"""Medication""",5.0,ｍＬ,１日右１回左１回,タプロス
タリビッド眼軟膏０．３％,620004809,1319722M1056,"""Medication""",3.5,ｇ,医師の指示通り,タリビッド
タリビッド眼軟膏０．３％,620004809,-,"""Surgery""",0.2,ｇ,-,タリビッド
タリビッド眼軟膏０．３％,620004809,-,"""Treatment""",0.2,ｇ,-,タリビッド
タリムス点眼液０．１％　５ｍＬ,620006790,1319755Q1028,"""Medication""",1.0,瓶,１日右２回左２回,タリムス
チモロールＰＦ点眼液０．５％「日点」,621877801,1319702Q2014,"""Medication""",15.0,ｍＬ,１日右２回左２回,チモロール
チモロールＸＥ点眼液０．５％「杏林」,622268801,1319702Q4050,"""Medication""",2.5,ｍＬ,１日右１回左１回,チモロール
チモロールＸＥ点眼液０．５％「ＴＳ」,622290101,1319702Q4041,"""Medication""",5.0,ｍＬ,１日右１回左１回,チモロール
テルモ生食　１００ｍＬ,640441019,-,"""Surgery""",1.0,袋,-,テルモ
テルモ生食　１００ｍＬ,640441019,-,"""Treatment""",1.0,袋,-,テルモ
デタントール０．０１％点眼液,660451004,1319747Q1023,"""Medication""",5.0,ｍＬ,１日右２回左２回,デタントール
デュオトラバ配合点眼液,621985001,1319820Q1022,"""Medication""",10.0,ｍＬ,１日右１回左１回,デュオトラバ
トキソプラズマ抗体半定量,160040110,-,"""Examination""",1.0,回,-,トキソプラズマ
トコフェロールニコチン酸エステルカプセル１００ｍｇ「トーワ」,620353101,2190006M1210,"""Medication""",3.0,カプセル,１日３回毎食後に,トコフェロールニコチン
トラバタンズ点眼液０．００４％,620005833,1319754Q1023,"""Medication""",5.0,ｍＬ,１日右１回左１回,トラバタンズ
トロピカミド点眼液０．４％「日点」,620196401,1311705Q1064,"""Medication""",10.0,ｍＬ,１日右１回左１回就寝前,トロピカミド
ナトリウム及びクロール,160021110,-,"""Examination""",1.0,回,-,ナトリウム
ニプラジロール点眼液０．２５％「わかもと」,620005764,1319740Q1013,"""Medication""",5.0,ｍＬ,１日右２回左２回,ニプラジロール
ニプラジロール点眼液０．２５％「サワイ」,620005761,1319740Q1013,"""Medication""",10.0,ｍＬ,１日右２回左２回,ニプラジロール
ニプラジロールＰＦ点眼液０．２５％「日点」,620005765,1319740Q1013,"""Medication""",5.0,ｍＬ,１日右２回,ニプラジロール
ネオシネジンコーワ５％点眼液,661310098,-,"""Examination""",0.6,ｍＬ,-,ネオシネジンコーワ
ネオメドロールＥＥ軟膏,661310099,1319807M1025,"""Medication""",3.0,ｇ,医師の指示通り,ネオメドロール
バビースモ硝子体内注射液１２０ｍｇ／ｍＬ　６ｍｇ０．０５ｍＬ,629918901,-,"""Injection""",1.0,瓶,-,硝子体内注射液
パタノール点眼液０．１％,620004365,1319752Q1024,"""Medication""",15.0,ｍＬ,医師の指示通りに,パタノール
ヒアルロン酸ナトリウム点眼液０．１％「ＴＳ」　５ｍＬ,622096501,1319720Q3019,"""Medication""",2.0,瓶,医師の指示通りに,ヒアルロン
ヒアルロン酸ナトリウム点眼液０．３％「日点」　５ｍＬ,622661101,1319720Y2012,"""Medication""",1.0,瓶,医師の指示通りに,ヒアルロン
ヒアルロン酸ナトリウム点眼液０．３％「ＴＳ」　５ｍＬ,622096601,1319720Y2012,"""Medication""",3.0,瓶,１日３～６回　点眼,ヒアルロン
ヒアルロン酸ナトリウムＰＦ点眼液０．１％「日点」　５ｍＬ,622072901,1319720Q3132,"""Medication""",2.0,瓶,医師の指示通りに,ヒアルロン
ヒアルロン酸Ｎａ０．８５眼粘弾剤１％「アルコン」　０．８５ｍＬ,621521901,-,"""Surgery""",1.0,筒,-,ヒアルロン
ヒアレイン点眼液０．１％　５ｍＬ,620004816,1319720Q3078,"""Medication""",6.0,瓶,医師の指示通りに,ヒアレイン
ヒアレイン点眼液０．３％　５ｍＬ,621999201,1319720Y2020,"""Medication""",6.0,瓶,医師の指示通りに,ヒアレイン
ビタノイリンカプセル５０,610454066,3179107M1059,"""Medication""",2.0,カプセル,１日２回朝夕食後に,ビタノイリンカプセル
ビラノア錠２０ｍｇ,622516602,4490033F1028,"""Medication""",1.0,錠,１日１回就寝前に,ビラノア
ピレノキシン懸濁性点眼液０．００５％「参天」　５ｍＬ,620212001,1319706Q3043,"""Medication""",2.0,瓶,医師の指示通りに,ピレノキシン
ファインビジョン　ＨＰ,95005007,-,"""OwnExpense""",1.0,回,-,ファインビジョン
フルナーゼ点鼻液５０μｇ２８噴霧用　２．０４ｍｇ４ｍＬ,620005298,1329707Q1181,"""Medication""",4.0,瓶,１日２回,フルナーゼ
フルメトロン点眼液０．０２％,620007763,1315704Q1115,"""Medication""",10.0,ｍＬ,１日右３回左３回,フルメトロン
フルメトロン点眼液０．１％,620007764,1315704Q3126,"""Medication""",15.0,ｍＬ,１日右４回左４回,フルメトロン
フローレス眼検査用試験紙０．７ｍｇ,621200201,-,"""Examination""",2.0,枚,-,眼検査用試験紙
ブロナック点眼液０．１％,620008268,1319743Q1033,"""Medication""",5.0,ｍＬ,１日左２回,ブロナック
プラノプロフェン点眼液０．１％「わかもと」,620004253,1319724Q1014,"""Medication""",20.0,ｍＬ,１日右３回左３回,プラノプロフェン
プラノプロフェン点眼液０．１％「参天」,620220501,1319724Q1200,"""Medication""",20.0,ｍＬ,１日右３回左３回,プラノプロフェン
プレドニン眼軟膏　０．２５％,661310130,1315705M1037,"""Medication""",5.0,ｇ,医師の指示通り,プレドニン
プロペト,667120036,7121703X1330,"""Medication""",100.0,ｇ,医師の指示通りに,プロペト
ベガモックス点眼液０．５％,620004368,1319753Q1029,"""Medication""",5.0,ｍＬ,医師の指示通りに,ベガモックス
ベストロン点眼用０．５％　５ｍｇ（溶解後の液として）,620006517,1317713Q1038,"""Medication""",25.0,ｍＬ,１日右４回左４回,ベストロン
ベノキシール点眼液０．４％,620000402,-,"""Treatment""",0.6,ｍＬ,-,ベノキシール
ボスミン注１ｍｇ　０．１％１ｍＬ,620517902,-,"""Surgery""",0.3,管,-,ボスミン
ポビドンヨード消毒液１０％「ケンエー」,620573001,-,"""Treatment""",30.0,ｍＬ,-,ポビドンヨード
マイオピン０．０１％,95930010,-,"""OwnExpense""",2.0,回,-,マイオピン
マイオピン０．０２５％,95930006,-,"""OwnExpense""",3.0,回,-,マイオピン
マキュエイド眼注用４０ｍｇ,622019902,-,"""Surgery""",1.0,瓶,-,マキュエイド
ミオピン点眼液　５ｍＬ,620005303,1319809X2043,"""Medication""",2.0,瓶,１日右４回左４回,ミオピン
ミケラン点眼液１％,661310208,1319701Q1021,"""Medication""",5.0,ｍＬ,１日右１回左１回,ミケラン
ミケランＬＡ点眼液１％,620004891,1319701Q3024,"""Medication""",2.5,ｍＬ,１日右１回,ミケラン
ミケランＬＡ点眼液２％,620004892,1319701Q4020,"""Medication""",2.5,ｍＬ,１日右１回左１回,ミケラン
ミケルナ配合点眼液,622509901,1319823Q1026,"""Medication""",2.5,ｍＬ,１日右１回左１回,配合点眼液
ミドリンＭ点眼液０．４％,620003871,-,"""Examination""",1.2,ｍＬ,-,ミドリン
ミドリンＭ点眼液０．４％,620003871,1311705Q1048,"""Medication""",10.0,ｍＬ,１日右１回左１回,ミドリン
ミドリンＰ点眼液,620003872,-,"""Examination""",0.6,ｍＬ,-,ミドリン
ミドリンＰ点眼液,620003872,-,"""Surgery""",0.5,ｍＬ,-,ミドリン
ムコスタ点眼液ＵＤ２％　０．３５ｍＬ,622104901,1319760Q1029,"""Medication""",28.0,本,医師の指示通りに,ムコスタ
メチコバール錠５００μｇ　０．５ｍｇ,613130595,3136004F2138,"""Medication""",2.0,錠,１日２回朝夕食後に,メチコバール
モイゼルト軟膏１％,622850001,2699715M2020,"""Medication""",10.0,ｇ,医師の指示通りに,モイゼルト
